Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Weight_in_lbs
12.0,8,307.0,130.0,18.0,3504
11.5,8,350.0,165.0,15.0,3693
11.0,8,318.0,150.0,18.0,3436
12.0,8,304.0,150.0,16.0,3433
10.5,8,302.0,140.0,17.0,3449
10.0,8,429.0,198.0,15.0,4341
9.0,8,454.0,220.0,14.0,4354
8.5,8,440.0,215.0,14.0,4312
10.0,8,455.0,225.0,14.0,4425
8.5,8,390.0,190.0,15.0,3850
10.0,8,383.0,170.0,15.0,3563
8.0,8,340.0,160.0,14.0,3609
9.5,8,400.0,150.0,15.0,3761
10.0,8,455.0,225.0,14.0,3086
15.0,4,113.0,95.0,24.0,2372
15.5,6,198.0,95.0,22.0,2833
15.5,6,199.0,97.0,18.0,2774
16.0,6,200.0,85.0,21.0,2587
14.5,4,97.0,88.0,27.0,2130
20.5,4,97.0,46.0,26.0,1835
17.5,4,110.0,87.0,25.0,2672
14.5,4,107.0,90.0,24.0,2430
17.5,4,104.0,95.0,25.0,2375
12.5,4,121.0,113.0,26.0,2234
15.0,6,199.0,90.0,21.0,2648
14.0,8,360.0,215.0,10.0,4615
15.0,8,307.0,200.0,10.0,4376
13.5,8,318.0,210.0,11.0,4382
18.5,8,304.0,193.0,9.0,4732
14.5,4,97.0,88.0,27.0,2130
15.5,4,140.0,90.0,28.0,2264
14.0,4,113.0,95.0,25.0,2228
13.0,6,232.0,100.0,19.0,2634
15.5,6,225.0,105.0,16.0,3439
15.5,6,250.0,100.0,17.0,3329
15.5,6,250.0,88.0,19.0,3302
15.5,6,232.0,100.0,18.0,3288
12.0,8,350.0,165.0,14.0,4209
11.5,8,400.0,175.0,14.0,4464
13.5,8,351.0,153.0,14.0,4154
13.0,8,318.0,150.0,14.0,4096
11.5,8,383.0,180.0,12.0,4955
12.0,8,400.0,170.0,13.0,4746
12.0,8,400.0,175.0,13.0,5140
13.5,6,258.0,110.0,18.0,2962
19.0,4,140.0,72.0,22.0,2408
15.0,6,250.0,100.0,19.0,3282
14.5,6,250.0,88.0,18.0,3139
14.0,4,122.0,86.0,23.0,2220
14.0,4,116.0,90.0,28.0,2123
19.5,4,79.0,70.0,30.0,2074
14.5,4,88.0,76.0,30.0,2065
19.0,4,71.0,65.0,31.0,1773
18.0,4,72.0,69.0,35.0,1613
19.0,4,97.0,60.0,27.0,1834
20.5,4,91.0,70.0,26.0,1955
15.5,4,113.0,95.0,24.0,2278
17.0,4,97.5,80.0,25.0,2126
23.5,4,97.0,54.0,23.0,2254
19.5,4,140.0,90.0,20.0,2408
16.5,4,122.0,86.0,21.0,2226
12.0,8,350.0,165.0,13.0,4274
12.0,8,400.0,175.0,14.0,4385
13.5,8,318.0,150.0,15.0,4135
