Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Name,Origin,Weight_in_lbs,Date
12,8,307,130,18,chevrolet chevelle malibu,USA,3504,5/20/1970
11.5,8,350,165,15,buick skylark 320,USA,3693,8/2/1970
11,8,318,150,18,plymouth satellite,USA,3436,12/10/1970
12,8,304,150,16,amc rebel sst,USA,3433,10/16/1970
10.5,8,302,140,17,ford torino,USA,3449,8/14/1970
10,8,429,198,15,ford galaxie 500,USA,4341,2/9/1970
9,8,454,220,14,chevrolet impala,USA,4354,9/7/1970
8.5,8,440,215,14,plymouth fury iii,USA,4312,10/7/1970
10,8,455,225,14,pontiac catalina,USA,4425,11/19/1970
8.5,8,390,190,15,amc ambassador dpl,USA,3850,5/23/1970
17.5,4,133,115,,citroen ds-21 pallas,Europe,3090,12/2/1970
11.5,8,350,165,,chevrolet chevelle concours (sw),USA,4142,10/21/1970
11,8,351,153,,ford torino (sw),USA,4034,10/16/1970
10.5,8,383,175,,plymouth satellite (sw),USA,4166,4/22/1970
11,8,360,175,,amc rebel sst (sw),USA,3850,8/5/1970
10,8,383,170,15,dodge challenger se,USA,3563,11/21/1970
8,8,340,160,14,plymouth 'cuda 340,USA,3609,11/9/1970
8,8,302,140,,ford mustang boss 302,USA,3353,2/3/1970
9.5,8,400,150,15,chevrolet monte carlo,USA,3761,4/26/1970
10,8,455,225,14,buick estate wagon (sw),USA,3086,5/8/1970
15,4,113,95,24,toyota corona mark ii,Japan,2372,1/1/1970
15.5,6,198,95,22,plymouth duster,USA,2833,6/14/1970
15.5,6,199,97,18,amc hornet,USA,2774,7/10/1970
16,6,200,85,21,ford maverick,USA,2587,9/14/1970
14.5,4,97,88,27,datsun pl510,Japan,2130,6/17/1970
20.5,4,97,46,26,volkswagen 1131 deluxe sedan,Europe,1835,4/24/1970
17.5,4,110,87,25,peugeot 504,Europe,2672,8/9/1970
14.5,4,107,90,24,audi 100 ls,Europe,2430,7/5/1970
17.5,4,104,95,25,saab 99e,Europe,2375,9/25/1970
12.5,4,121,113,26,bmw 2002,Europe,2234,10/17/1970
15,6,199,90,21,amc gremlin,USA,2648,5/2/1970
14,8,360,215,10,ford f250,USA,4615,1/5/1970
15,8,307,200,10,chevrolet c20,USA,4376,7/2/1970
13.5,8,318,210,11,dodge d200,USA,4382,7/19/1970
18.5,8,304,193,9,hi 1200d,USA,4732,12/11/1970
14.5,4,97,88,27,datsun pl510,Japan,2130,7/11/1971
15.5,4,140,90,28,chevrolet vega 2300,USA,2264,11/3/1971
14,4,113,95,25,toyota corona,Japan,2228,7/25/1971
19,4,98,58,25,ford pinto,USA,2046,4/5/1971
20,4,97,48,,volkswagen super beetle 117,Europe,1978,8/9/1971
13,6,232,100,19,amc gremlin,USA,2634,1/14/1971
15.5,6,225,105,16,plymouth satellite custom,USA,3439,5/21/1971
15.5,6,250,100,17,chevrolet chevelle malibu,USA,3329,4/23/1971
15.5,6,250,88,19,ford torino 500,USA,3302,10/3/1971
15.5,6,232,100,18,amc matador,USA,3288,7/13/1971
12,8,350,165,14,chevrolet impala,USA,4209,6/6/1971
11.5,8,400,175,14,pontiac catalina brougham,USA,4464,10/20/1971
13.5,8,351,153,14,ford galaxie 500,USA,4154,7/1/1971
13,8,318,150,14,plymouth fury iii,USA,4096,6/14/1971
11.5,8,383,180,12,dodge monaco (sw),USA,4955,10/18/1971
12,8,400,170,13,ford country squire (sw),USA,4746,5/26/1971
12,8,400,175,13,pontiac safari (sw),USA,5140,10/6/1971
13.5,6,258,110,18,amc hornet sportabout (sw),USA,2962,2/24/1971
19,4,140,72,22,chevrolet vega (sw),USA,2408,5/11/1971
15,6,250,100,19,pontiac firebird,USA,3282,11/24/1971
14.5,6,250,88,18,ford mustang,USA,3139,3/4/1971
14,4,122,86,23,mercury capri 2000,USA,2220,11/8/1971
14,4,116,90,28,opel 1900,Europe,2123,9/19/1971
19.5,4,79,70,30,peugeot 304,Europe,2074,6/26/1971
14.5,4,88,76,30,fiat 124b,Europe,2065,3/9/1971
19,4,71,65,31,toyota corolla 1200,Japan,1773,6/1/1971
18,4,72,69,35,datsun 1200,Japan,1613,10/23/1971
19,4,97,60,27,volkswagen model 111,Europe,1834,7/23/1971
20.5,4,91,70,26,plymouth cricket,USA,1955,1/9/1971
15.5,4,113,95,24,toyota corona hardtop,Japan,2278,1/7/1972
17,4,97.5,80,25,dodge colt hardtop,USA,2126,11/21/1972
23.5,4,97,54,23,volkswagen type 3,Europe,2254,3/15/1972
19.5,4,140,90,20,chevrolet vega,USA,2408,9/10/1972
16.5,4,122,86,21,ford pinto runabout,USA,2226,1/20/1972
12,8,350,165,13,chevrolet impala,USA,4274,2/18/1972
12,8,400,175,14,pontiac catalina,USA,4385,8/26/1972
13.5,8,318,150,15,plymouth fury iii,USA,4135,1/10/1972
13,8,351,153,14,ford galaxie 500,USA,4129,7/1/1972
11.5,8,304,150,17,amc ambassador sst,USA,3672,10/6/1972
11,8,429,208,11,mercury marquis,USA,4633,11/2/1972
13.5,8,350,155,13,buick lesabre custom,USA,4502,11/22/1972
13.5,8,350,160,12,oldsmobile delta 88 royale,USA,4456,2/19/1972
12.5,8,400,190,13,chrysler newport royal,USA,4422,8/10/1972
13.5,3,70,97,19,mazda rx2 coupe,Japan,2330,2/17/1972
12.5,8,304,150,15,amc matador (sw),USA,3892,4/24/1972
14,8,307,130,13,chevrolet chevelle concours (sw),USA,4098,9/19/1972
16,8,302,140,13,ford gran torino (sw),USA,4294,7/4/1972
14,8,318,150,14,plymouth satellite custom (sw),USA,4077,5/14/1972
14.5,4,121,112,18,volvo 145e (sw),Europe,2933,3/21/1972
18,4,121,76,22,volkswagen 411 (sw),Europe,2511,2/8/1972
19.5,4,120,87,21,peugeot 504 (sw),Europe,2979,11/25/1972
18,4,96,69,26,renault 12 (sw),Europe,2189,3/6/1972
16,4,122,86,22,ford pinto (sw),USA,2395,10/2/1972
17,4,97,92,28,datsun 510 (sw),Japan,2288,10/19/1972
14.5,4,120,97,23,toyota corona mark ii (sw),Japan,2506,3/27/1972
15,4,98,80,28,dodge colt (sw),USA,2164,11/23/1972
16.5,4,97,88,27,toyota corolla 1600 (sw),Japan,2100,2/3/1972
13,8,350,175,13,buick century 350,USA,4100,8/22/1973
11.5,8,304,150,14,amc matador,USA,3672,8/19/1973
13,8,350,145,13,chevrolet malibu,USA,3988,7/22/1973
14.5,8,302,137,14,ford gran torino,USA,4042,5/7/1973
12.5,8,318,150,15,dodge coronet custom,USA,3777,4/21/1973
11.5,8,429,198,12,mercury marquis brougham,USA,4952,8/13/1973
12,8,400,150,13,chevrolet caprice classic,USA,4464,3/5/1973
13,8,351,158,13,ford ltd,USA,4363,4/19/1973
14.5,8,318,150,14,plymouth fury gran sedan,USA,4237,4/17/1973
11,8,440,215,13,chrysler new yorker brougham,USA,4735,11/8/1973
11,8,455,225,12,buick electra 225 custom,USA,4951,4/23/1973
11,8,360,175,13,amc ambassador brougham,USA,3821,1/24/1973
16.5,6,225,105,18,plymouth valiant,USA,3121,7/3/1973
18,6,250,100,16,chevrolet nova custom,USA,3278,4/10/1973
16,6,232,100,18,amc hornet,USA,2945,6/17/1973
16.5,6,250,88,18,ford maverick,USA,3021,3/17/1973
16,6,198,95,23,plymouth duster,USA,2904,5/5/1973
21,4,97,46,26,volkswagen super beetle,Europe,1950,3/1/1973
14,8,400,150,11,chevrolet impala,USA,4997,4/2/1973
12.5,8,400,167,12,ford country,USA,4906,11/4/1973
13,8,360,170,13,plymouth custom suburb,USA,4654,4/9/1973
12.5,8,350,180,12,oldsmobile vista cruiser,USA,4499,9/6/1973
15,6,232,100,18,amc gremlin,USA,2789,7/24/1973
19,4,97,88,20,toyota carina,Japan,2279,6/10/1973
19.5,4,140,72,21,chevrolet vega,USA,2401,3/17/1973
16.5,4,108,94,22,datsun 610,Japan,2379,6/9/1973
13.5,3,70,90,18,maxda rx3,Japan,2124,7/25/1973
18.5,4,122,85,19,ford pinto,USA,2310,11/21/1973
14,6,155,107,21,mercury capri v6,USA,2472,2/9/1973
15.5,4,98,90,26,fiat 124 sport coupe,Europe,2265,11/4/1973
13,8,350,145,15,chevrolet monte carlo s,USA,4082,10/14/1973
9.5,8,400,230,16,pontiac grand prix,USA,4278,1/23/1973
19.5,4,68,49,29,fiat 128,Europe,1867,8/26/1973
15.5,4,116,75,24,opel manta,Europe,2158,1/20/1973
14,4,114,91,20,audi 100ls,Europe,2582,9/19/1973
15.5,4,121,112,19,volvo 144ea,Europe,2868,10/5/1973
11,8,318,150,15,dodge dart custom,USA,3399,8/23/1973
14,4,121,110,24,saab 99le,Europe,2660,3/15/1973
13.5,6,156,122,20,toyota mark ii,Japan,2807,11/16/1973
11,8,350,180,11,oldsmobile omega,USA,3664,6/27/1973
16.5,6,198,95,20,plymouth duster,USA,3102,9/20/1974
17,6,200,89,21,ford maverick,USA,2875,12/7/1974
16,6,232,100,19,amc hornet,USA,2901,4/14/1974
17,6,250,100,15,chevrolet nova,USA,3336,7/23/1974
19,4,79,67,31,datsun b210,Japan,1950,11/7/1974
16.5,4,122,80,26,ford pinto,USA,2451,12/7/1974
21,4,71,65,32,toyota corolla 1200,Japan,1836,8/17/1974
17,4,140,75,25,chevrolet vega,USA,2542,8/23/1974
17,6,250,100,16,chevrolet chevelle malibu classic,USA,3781,2/4/1974
18,6,258,110,16,amc matador,USA,3632,5/15/1974
16.5,6,225,105,18,plymouth satellite sebring,USA,3613,12/9/1974
14,8,302,140,16,ford gran torino,USA,4141,11/22/1974
14.5,8,350,150,13,buick century luxus (sw),USA,4699,6/7/1974
13.5,8,318,150,14,dodge coronet custom (sw),USA,4457,3/23/1974
16,8,302,140,14,ford gran torino (sw),USA,4638,1/9/1974
15.5,8,304,150,14,amc matador (sw),USA,4257,9/6/1974
16.5,4,98,83,29,audi fox,Europe,2219,1/26/1974
15.5,4,79,67,26,volkswagen dasher,Europe,1963,11/18/1974
14.5,4,97,78,26,opel manta,Europe,2300,2/26/1974
16.5,4,76,52,31,toyota corona,Japan,1649,1/26/1974
19,4,83,61,32,datsun 710,Japan,2003,3/22/1974
14.5,4,90,75,28,dodge colt,USA,2125,6/4/1974
15.5,4,90,75,24,fiat 128,Europe,2108,9/10/1974
14,4,116,75,26,fiat 124 tc,Europe,2246,3/13/1974
15,4,120,97,24,honda civic,Japan,2489,9/7/1974
15.5,4,108,93,26,subaru,Japan,2391,6/3/1974
16,4,79,67,31,fiat x1.9,Europe,2000,4/20/1974
16,6,225,95,19,plymouth valiant custom,USA,3264,9/14/1975
16,6,250,105,18,chevrolet nova,USA,3459,9/21/1975
21,6,250,72,15,mercury monarch,USA,3432,5/3/1975
19.5,6,250,72,15,ford maverick,USA,3158,12/11/1975
11.5,8,400,170,16,pontiac catalina,USA,4668,9/15/1975
14,8,350,145,15,chevrolet bel air,USA,4440,12/4/1975
14.5,8,318,150,16,plymouth grand fury,USA,4498,3/2/1975
13.5,8,351,148,14,ford ltd,USA,4657,5/9/1975
21,6,231,110,17,buick century,USA,3907,4/17/1975
18.5,6,250,105,16,chevrolet chevelle malibu,USA,3897,10/9/1975
19,6,258,110,15,amc matador,USA,3730,5/14/1975
19,6,225,95,18,plymouth fury,USA,3785,3/10/1975
15,6,231,110,21,buick skyhawk,USA,3039,9/17/1975
13.5,8,262,110,20,chevrolet monza 2+2,USA,3221,1/9/1975
12,8,302,129,13,ford mustang ii,USA,3169,5/4/1975
16,4,97,75,29,toyota corolla,Japan,2171,2/3/1975
17,4,140,83,23,ford pinto,USA,2639,3/18/1975
